county_name,state_code,district_code
Gaston,NC,NCW
Gates,NC,NCE
Geary,KS,KSX
Geauga,OH,OHN
Gem,ID,IDX
Genesee,MI,MIE
Genesee,NY,NYW
Geneva,AL,ALM
Gentry,MO,MOW
George,MS,MSS
Georgetown,SC,SCX
Gibson,IN,INS
Gibson,TN,TNW
Gila,AZ,AZX
Gilchrist,FL,FLN
Giles,TN,TNM
Giles,VA,VAW
Gillespie,TX,TXW
Gilliam,OR,ORX
Gilmer,GA,GAN
Gilmer,WV,WVN
Gilpin,CO,COX
Glacier,MT,MTX
Glades,FL,FLM
Gladwin,MI,MIE
Glascock,GA,GAS
Glasscock,TX,TXN
Glenn,CA,CAE
Gloucester,NJ,NJX
Gloucester,VA,VAE
Glynn,GA,GAS
Gogebic,MI,MIW
"Golden Valley",MT,MTX
"Golden Valley",ND,NDX
Goliad,TX,TXS
Gonzales,TX,TXW
Goochland,VA,VAE
Goodhue,MN,MNX
Gooding,ID,IDX
Gordon,GA,GAN
Goshen,WY,WYX
Gosper,NE,NEX
Gove,KS,KSX
Grady,GA,GAM
Grady,OK,OKW
Grafton,NH,NHX
Graham,AZ,AZX
Graham,KS,KSX
Graham,NC,NCW
Grainger,TN,TNE
Grand,CO,COX
Grand,UT,UTX
"Grand Forks",ND,NDX
"Grand Isle",VT,VTX
"Grand Traverse",MI,MIW
Granite,MT,MTX
Grant,AR,ARE
Grant,IN,INN
Grant,KS,KSX
Grant,KY,KYE
Grant,LA,LAW
Grant,MN,MNX
Grant,ND,NDX
Grant,NE,NEX
Grant,NM,NMX
Grant,OK,OKW
Grant,OR,ORX
Grant,SD,SDX
Grant,WA,WAE
Grant,WI,WIW
Grant,WV,WVN
Granville,NC,NCE
Gratiot,MI,MIE
Graves,KY,KYW
Gray,KS,KSX
Gray,TX,TXN
"Grays Harbor",WA,WAW
Grayson,KY,KYW
Grayson,TX,TXE
Grayson,VA,VAW
Greeley,KS,KSX
Greeley,NE,NEX
Green,KY,KYW
Green,WI,WIW
"Green Lake",WI,WIE
Greenbrier,WV,WVS
Greene,AL,ALN
Greene,AR,ARE
Greene,GA,GAM
Greene,IA,IAS
Greene,IL,ILC
Greene,IN,INS
Greene,MO,MOW
Greene,MS,MSS
Greene,NC,NCE
Greene,NY,NYN
Greene,OH,OHS
Greene,PA,PAW
Greene,TN,TNE
Greene,VA,VAW
Greenlee,AZ,AZX
Greensville,VA,VAE
Greenup,KY,KYE
Greenville,SC,SCX
Greenwood,KS,KSX
Greenwood,SC,SCX
Greer,OK,OKW
Gregg,TX,TXE
Gregory,SD,SDX
Grenada,MS,MSN
Griggs,ND,NDX
Grimes,TX,TXS
Grundy,IA,IAN
Grundy,IL,ILN
Grundy,MO,MOW
Grundy,TN,TNE
Guadalupe,NM,NMX
Guadalupe,TX,TXW
Guam,GU,GUX
Guaynabo,PR,PRX
Guernsey,OH,OHS
Guilford,NC,NCM
Gulf,FL,FLN
Gunnison,CO,COX
Guthrie,IA,IAS
Gwinnett,GA,GAN
Haakon,SD,SDX
Habersham,GA,GAN
Haines,AK,AKX
